consumer_module	heavy_class	heavy_artifact	artifact_scope	entry_from	chain
sw-bpm-process	fastjson2	com.alibaba.fastjson2:fastjson2:jar:2.0.53	compile	com.alibaba.fastjson2:fastjson2:jar:2.0.53	com.sw.ck:sw-basic-iot:jar:0.1.0:compile > com.alibaba.fastjson2:fastjson2:jar:2.0.53
sw-basic-iot	MQTT/Paho	org.eclipse.paho:org.eclipse.paho.client.mqttv3:jar:1.2.5	compile	org.eclipse.paho:org.eclipse.paho.client.mqttv3:jar:1.2.5	org.springframework.integration:spring-integration-mqtt:jar:6.4.3:compile > org.eclipse.paho:org.eclipse.paho.client.mqttv3:jar:1.2.5
sw-basic-iot	GraalJS	org.graalvm.js:js-community:pom:24.1.1	runtime	org.graalvm.js:js-community:pom:24.1.1	org.graalvm.polyglot:js-community:pom:24.1.1:compile > org.graalvm.js:js-community:pom:24.1.1
sw-basic-iot	GraalJS	org.graalvm.js:js-language:jar:24.1.1	runtime	org.graalvm.js:js-community:pom:24.1.1	org.graalvm.polyglot:js-community:pom:24.1.1:compile > org.graalvm.js:js-community:pom:24.1.1 > org.graalvm.js:js-language:jar:24.1.1
sw-basic-iot	GraalJS	org.graalvm.regex:regex:jar:24.1.1	runtime	org.graalvm.js:js-community:pom:24.1.1	org.graalvm.polyglot:js-community:pom:24.1.1:compile > org.graalvm.js:js-community:pom:24.1.1 > org.graalvm.js:js-language:jar:24.1.1 > org.graalvm.regex:regex:jar:24.1.1
sw-basic-iot	GraalJS	org.graalvm.sdk:collections:jar:24.1.1	compile	org.graalvm.sdk:collections:jar:24.1.1	org.graalvm.polyglot:polyglot:jar:24.1.1:compile > org.graalvm.sdk:collections:jar:24.1.1
sw-basic-iot	GraalJS	org.graalvm.sdk:jniutils:jar:24.1.1	runtime	org.graalvm.js:js-community:pom:24.1.1	org.graalvm.polyglot:js-community:pom:24.1.1:compile > org.graalvm.js:js-community:pom:24.1.1 > org.graalvm.truffle:truffle-runtime:jar:24.1.1 > org.graalvm.sdk:jniutils:jar:24.1.1
sw-basic-iot	GraalJS	org.graalvm.sdk:nativeimage:jar:24.1.1	compile	org.graalvm.sdk:nativeimage:jar:24.1.1	org.graalvm.polyglot:polyglot:jar:24.1.1:compile > org.graalvm.sdk:nativeimage:jar:24.1.1
sw-basic-iot	GraalJS	org.graalvm.sdk:word:jar:24.1.1	compile	org.graalvm.sdk:nativeimage:jar:24.1.1	org.graalvm.polyglot:polyglot:jar:24.1.1:compile > org.graalvm.sdk:nativeimage:jar:24.1.1 > org.graalvm.sdk:word:jar:24.1.1
sw-basic-iot	GraalJS	org.graalvm.shadowed:icu4j:jar:24.1.1	runtime	org.graalvm.js:js-community:pom:24.1.1	org.graalvm.polyglot:js-community:pom:24.1.1:compile > org.graalvm.js:js-community:pom:24.1.1 > org.graalvm.js:js-language:jar:24.1.1 > org.graalvm.shadowed:icu4j:jar:24.1.1
sw-basic-iot	GraalJS	org.graalvm.truffle:truffle-api:jar:24.1.1	runtime	org.graalvm.js:js-community:pom:24.1.1	org.graalvm.polyglot:js-community:pom:24.1.1:compile > org.graalvm.js:js-community:pom:24.1.1 > org.graalvm.js:js-language:jar:24.1.1 > org.graalvm.truffle:truffle-api:jar:24.1.1
sw-basic-iot	GraalJS	org.graalvm.truffle:truffle-compiler:jar:24.1.1	runtime	org.graalvm.js:js-community:pom:24.1.1	org.graalvm.polyglot:js-community:pom:24.1.1:compile > org.graalvm.js:js-community:pom:24.1.1 > org.graalvm.truffle:truffle-runtime:jar:24.1.1 > org.graalvm.truffle:truffle-compiler:jar:24.1.1
sw-basic-iot	GraalJS	org.graalvm.truffle:truffle-runtime:jar:24.1.1	runtime	org.graalvm.js:js-community:pom:24.1.1	org.graalvm.polyglot:js-community:pom:24.1.1:compile > org.graalvm.js:js-community:pom:24.1.1 > org.graalvm.truffle:truffle-runtime:jar:24.1.1
sw-basic-iot	TencentSDK	com.tencentcloudapi:tencentcloud-sdk-java-common:jar:3.1.1235	compile	com.tencentcloudapi:tencentcloud-sdk-java-common:jar:3.1.1235	com.tencentcloudapi:tencentcloud-sdk-java-iotexplorer:jar:3.1.1235:compile > com.tencentcloudapi:tencentcloud-sdk-java-common:jar:3.1.1235
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-apple-module:jar:3.1.0	compile	org.apache.tika:tika-parser-apple-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-apple-module:jar:3.1.0
